FTC_LOG [2017-08-08 10:46:43:4643]  TCP SERVER LISTEN : /172.16.0.200:65000
FTC_LOG [2017-08-08 10:58:50:5850]  关闭: m.tcps.s.ClientConnect@1e60c053 sun.nio.ch.WindowsAsynchronousSocketChannelImpl[closed]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427103979705 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066493.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427262784710 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066494.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427264337976 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066501.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427265178038 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000068981.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427266132122 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000068980.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427267388251 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000068992.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427268732351 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000071485.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427270080982 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000071478.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427271019208 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000071476.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427271873618 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000050484.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427272796365 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000050478.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427273592631 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000050483.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427274396448 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000047977.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427275236133 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000047978.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427276017674 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000013484.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427276748622 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000013485.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427278372869 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000014977.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427279316004 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000019476.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427280180607 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000019478.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427280942138 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000026981.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427281719903 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005602.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427282618109 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005603.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427283703206 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000026982.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427284661443 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000067007.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427285696702 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000067002.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427286695715 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000067018.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427287660749 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005805.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427288526485 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005806.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427289331434 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005804.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427290136762 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005808.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427290889231 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005834.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427291633772 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066982.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427292379822 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066983.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427293142863 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066981.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427293837944 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066979.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427294598720 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066980.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427295380638 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066977.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427295723082 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005802.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427296050423 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005803.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427296373611 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000005801.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427296682452 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066997.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427296979211 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000067015.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427297305042 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066996.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427297620679 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000003914.JPG]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427297922724 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000003915.JPG]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427298220238 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000026978.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427298514354 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000077476.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427298858308 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000077482.jpg]
FTC_LOG [2017-08-08 10:59:06:596]   下载添加:92427299175455 [https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000077488.jpg]
FTC_LOG [2017-08-08 10:59:07:597]  下载队列 移除 任务: [92427103979705 # https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066493.jpg] ,当前下载中 任务数: 0
FTC_LOG [2017-08-08 10:59:07:597]  下载队列 移除 任务: [92427262784710 # https://image.mybank.icbc.com.cn//picture/creditCard/cardPicture/C000066494.jpg] ,当前下载中 任务数: 0
